Player▲,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremiah Robinson-Earl,24,NOP,PF,66,9,1239,12.9,0.563,0.473,0.159,9.3,18.4,13.7,9.9,1.5,0.5,12.1,14.4,1.3,0.5,1.7,0.067,-0.9,-1.6,-2.5,-0.2,2.4,5.3,0.455,0.8,2.5,0.341,1.5,2.8,0.557,0.536,0.7,0.8,0.836,1.7,3.1,4.8,1.3,0.6,0.1,0.8,1.2,6.3
David Roddy,23,3TM,PF,33,3,410,11.9,0.561,0.488,0.208,3.4,19.5,11.2,11.5,1.6,2,13.9,16,0.1,0.4,0.5,0.062,-1.6,0.1,-1.5,0.1,1.7,3.8,0.456,0.6,1.8,0.311,1.2,1.9,0.594,0.532,0.6,0.8,0.769,0.4,2.2,2.5,1.1,0.4,0.3,0.7,0.6,4.6
Ryan Rollins,22,MIL,PG,56,19,820,14,0.6,0.443,0.166,2.9,11.1,7.2,17.8,2.5,1.9,15.4,18.4,0.7,1,1.7,0.101,-1.4,0.9,-0.5,0.3,2.4,4.8,0.487,0.9,2.1,0.408,1.5,2.7,0.55,0.577,0.6,0.8,0.8,0.4,1.6,1.9,1.9,0.8,0.3,0.9,1.6,6.2
Jackson Rowe,28,GSW,PF,6,0,52,15.9,0.56,0.588,0.353,6,17,11.4,11.1,3.7,0,4.8,16.7,0.1,0.1,0.2,0.153,-0.5,1.5,1,0,1.3,2.8,0.471,0.5,1.7,0.3,0.8,1.2,0.714,0.559,0.5,1,0.5,0.5,1.3,1.8,0.7,0.7,0,0.2,0.7,3.7
Terry Rozier,30,MIA,PG,64,23,1658,10.5,0.497,0.485,0.17,3,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-0.5,1.5,1,0.029,-2.6,-1,-3.7,-0.7,3.9,9.9,0.391,1.4,4.8,0.295,2.5,5.1,0.48,0.462,1.4,1.7,0.852,0.7,3,3.7,2.6,0.6,0.2,1.2,1.1,10.6
Rayan Rupert,20,POR,SG,52,0,460,8.1,0.499,0.415,0.211,6,10.6,8.2,7.6,1.7,0.8,16.2,16.8,-0.3,0.4,0.1,0.007,-4.1,-0.6,-4.7,-0.3,1.1,2.7,0.408,0.3,1.1,0.271,0.8,1.6,0.506,0.465,0.4,0.6,0.767,0.5,0.8,1.3,0.5,0.3,0.1,0.6,0.7,3
D'Angelo Russell,28,2TM,PG,58,36,1480,14,0.522,0.564,0.227,1.5,11,6.2,31.2,1.9,1.5,13.3,24,0.7,1.3,1.9,0.063,0,-0.4,-0.4,0.6,4.3,11,0.39,1.9,6.2,0.314,2.3,4.8,0.489,0.479,2.1,2.5,0.834,0.3,2.4,2.8,5.1,1,0.4,1.9,2,12.6
Matt Ryan,27,NYK,SF,19,0,68,6.1,0.439,0.613,0.065,0,13.4,6.8,5.9,1.5,0,8.6,22.3,-0.1,0.1,-0.1,-0.057,-5.1,-2.3,-7.5,-0.1,0.5,1.6,0.323,0.3,1,0.316,0.2,0.6,0.333,0.419,0.1,0.1,1,0,0.4,0.4,0.2,0.1,0,0.2,0.1,1.5
Domantas Sabonis,28,SAC,C,70,70,2429,22.9,0.655,0.175,0.324,12.3,32.6,22.4,26,1,1,16.5,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4,7.5,12.8,0.59,0.9,2.2,0.417,6.6,10.5,0.627,0.627,3.1,4.1,0.754,3.8,10.1,13.9,6,0.7,0.4,2.9,3.3,19.1
Tidjane Salaün,19,CHO,PF,60,10,1244,7.7,0.457,0.594,0.272,5.9,18.4,12,8.5,1.1,1.1,13.1,15.2,-0.9,0.9,0,0.002,-4.3,-0.8,-5.2,-1,1.9,5.8,0.33,1,3.4,0.283,0.9,2.3,0.4,0.414,1.1,1.6,0.713,1.2,3.5,4.7,1.2,0.5,0.2,1,1.4,5.9
Adama Sanogo,22,CHI,C,4,0,21,15.2,0.571,0,0,25.4,4.9,15,6.7,0,0,12.5,15.9,0,0,0,0.105,0.7,-3.4,-2.6,0,1,1.8,0.571,0,0,,1,1.8,0.571,0.571,0,0,,1.3,0.3,1.5,0.3,0,0,0.3,0.3,2
Gui Santos,22,GSW,PF,56,2,762,11.7,0.575,0.575,0.235,9.9,14.5,12.1,14.2,1.6,1.2,17.5,13.2,0.8,0.9,1.7,0.11,-2.2,0.5,-1.7,0.1,1.5,3.2,0.458,0.6,1.8,0.33,0.9,1.4,0.632,0.553,0.5,0.8,0.69,1.3,1.8,3.1,1.4,0.4,0.2,0.8,1.6,4.1
Dario Šarić,30,DEN,C,16,4,210,7.7,0.449,0.448,0.172,7.7,17.9,13.1,13.1,1.6,0.4,19.4,15.6,-0.2,0.2,0,0.001,-4.4,-0.4,-4.8,-0.1,1.3,3.6,0.362,0.4,1.6,0.269,0.9,2,0.438,0.422,0.4,0.6,0.7,0.9,2.3,3.1,1.4,0.4,0.1,0.9,1.2,3.5
Alex Sarr,19,WAS,C,67,67,1814,12.9,0.482,0.412,0.199,7.1,17.9,12.5,13.9,1.2,5,11.2,23.5,-1.6,1.3,-0.3,-0.007,-2.2,-1,-3.3,-0.6,4.9,12.4,0.394,1.6,5.1,0.308,3.3,7.3,0.454,0.457,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13
Marcus Sasser,24,DET,PG,57,1,811,14,0.589,0.514,0.172,2.5,6.9,4.7,22.9,2.2,0.5,14.5,19.4,1,0.8,1.8,0.108,-0.4,-0.2,-0.6,0.3,2.4,5.2,0.463,1,2.7,0.382,1.4,2.5,0.549,0.561,0.8,0.9,0.843,0.3,0.9,1.2,2.3,0.6,0.1,0.9,1.3,6.6
Baylor Scheierman,24,BOS,SG,31,2,384,10.3,0.49,0.745,0.109,5.4,13,9.2,11.3,2.2,0.5,9.4,14.5,0.2,0.5,0.7,0.089,-2.5,0.8,-1.7,0,1.3,3.5,0.355,0.8,2.6,0.317,0.4,0.9,0.464,0.473,0.3,0.4,0.75,0.6,1.5,2.1,1.1,0.5,0.1,0.4,0.7,3.6
Dennis Schröder,31,3TM,PG,75,49,2105,12.7,0.531,0.449,0.261,1.4,9.2,5.2,28.7,1.5,0.6,13.3,21.6,1.5,1.7,3.2,0.073,-1.3,-0.9,-2.2,-0.1,4.5,11,0.406,1.7,4.9,0.342,2.8,6.1,0.458,0.483,2.4,2.9,0.838,0.4,2.3,2.6,5.4,0.9,0.2,1.9,2.4,13.1
Alperen Şengün,22,HOU,C,76,76,2395,21.4,0.545,0.079,0.374,11.4,23.8,17.5,24.1,1.7,2.3,12.7,26.2,4.1,4.2,8.3,0.166,2.6,1.8,4.4,3.9,7.5,15,0.496,0.3,1.2,0.233,7.2,13.9,0.519,0.505,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1
Brice Sensabaugh,21,UTA,SF,71,15,1432,13.4,0.612,0.621,0.122,3.2,12.6,7.9,12,1.5,0.5,14.5,21.5,0.9,0.3,1.2,0.042,0.4,-1.6,-1.2,0.3,3.9,8.4,0.459,2.2,5.2,0.422,1.7,3.2,0.52,0.59,0.9,1,0.89,0.6,2.4,3,1.5,0.6,0.1,1.5,1.6,10.9
Collin Sexton,26,UTA,SG,63,61,1758,16.6,0.593,0.313,0.29,3.7,6.8,5.2,25.1,1.3,0.3,14.1,27,2.5,-0.1,2.4,0.066,1.7,-2.3,-0.6,0.6,6.6,13.8,0.48,1.7,4.3,0.406,4.9,9.5,0.513,0.543,3.4,4,0.865,1,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4
Landry Shamet,27,NYK,SG,50,0,762,9.7,0.601,0.678,0.078,1.7,7.5,4.6,4.7,1.5,0.2,8.5,14.8,0.5,0.5,1,0.065,-1.9,-0.6,-2.4,-0.1,2.1,4.6,0.461,1.2,3.1,0.397,0.9,1.5,0.595,0.596,0.2,0.4,0.667,0.2,1,1.2,0.5,0.5,0,0.4,1,5.7
Terrence Shannon Jr.,24,MIN,SG,32,1,339,11.9,0.56,0.272,0.184,3.3,11.9,7.7,13.8,1,1.4,10.9,17.7,0.3,0.4,0.6,0.091,-2.1,0,-2.1,0,1.7,3.6,0.482,0.3,1,0.355,1.4,2.6,0.53,0.531,0.5,0.7,0.81,0.3,1.2,1.5,1,0.2,0.2,0.5,0.8,4.3
Day'Ron Sharpe,23,BRK,C,50,2,907,19.7,0.568,0.142,0.233,17.8,23.8,20.7,16.8,2.3,4.6,15.3,19.9,1.3,1.4,2.7,0.141,0,0.9,0.9,0.7,3.3,6.3,0.521,0.2,0.9,0.244,3.1,5.4,0.566,0.538,1.1,1.5,0.757,3,3.6,6.6,1.8,0.8,0.8,1.3,2.3,7.9
Shaedon Sharpe,21,POR,SG,72,52,2252,14.5,0.551,0.428,0.219,3.2,12.7,7.8,14.2,1.3,0.6,11,25.1,1.3,1.7,3,0.064,0,-1.3,-1.3,0.4,6.9,15.3,0.452,2,6.6,0.311,4.9,8.8,0.557,0.519,2.6,3.4,0.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5
