Player▲,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Coby White,24,CHI,SG,74,73,2450,15.5,0.601,0.521,0.274,1.1,10.4,5.8,19.5,1.3,0.6,12.4,24.4,3,1.5,4.5,0.088,0.5,-1.4,-0.9,0.7,6.9,15.1,0.453,2.9,7.9,0.37,3.9,7.3,0.544,0.55,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4
Derrick White,30,BOS,SG,76,76,2574,16.6,0.606,0.721,0.168,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8,5.1,3.4,8.5,0.158,2.7,0.8,3.5,3.6,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,0.58,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4
Cam Whitmore,20,HOU,SF,51,3,827,15.5,0.549,0.454,0.179,4.5,15.1,9.7,8.9,1.8,1.4,9.6,23.9,0.6,1.2,1.8,0.106,0.7,-0.4,0.3,0.5,3.5,7.9,0.444,1.3,3.6,0.355,2.2,4.3,0.518,0.525,1.1,1.4,0.75,0.7,2.3,3,1,0.6,0.3,0.9,0.9,9.4
Aaron Wiggins,26,OKC,SG,76,26,1744,16.1,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1,8.3,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4,4.7,9.6,0.488,1.7,4.5,0.383,3,5.1,0.578,0.577,1,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12
Andrew Wiggins,29,2TM,SF,60,60,1842,16.4,0.566,0.415,0.306,5.1,10.8,7.9,13.5,1.6,2.6,9.4,24.5,1.9,2.1,4,0.104,1.2,-0.3,0.9,1.4,6.3,14,0.448,2.2,5.8,0.374,4.1,8.2,0.501,0.526,3.3,4.3,0.763,1.5,3,4.5,2.6,1,0.8,1.7,1.7,18
Alondes Williams,25,DET,SG,1,0,4,53.4,1.25,0.5,0,0,0,0,65,0,0,0,21.1,0,0,0,0.565,37.9,6.2,44.1,0,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5
Brandon Williams,25,DAL,PG,33,3,487,18.3,0.634,0.319,0.351,2.7,10.1,6.5,23.2,2.4,0.9,15.2,22.6,0.9,0.4,1.3,0.129,1,-0.1,1,0.4,3,5.7,0.521,0.7,1.8,0.4,2.2,3.9,0.578,0.585,1.7,2,0.833,0.4,1.4,1.8,2.3,0.7,0.2,1.2,1,8.3
Cody Williams,20,UTA,SG,50,21,1060,3.7,0.419,0.525,0.156,2.8,8.7,5.7,7.4,1,1.4,13.8,12.5,-1.2,0.1,-1.2,-0.053,-6.1,-1.2,-7.3,-1.4,1.7,5.1,0.323,0.7,2.7,0.259,1,2.4,0.393,0.391,0.6,0.8,0.725,0.5,1.7,2.3,1.2,0.5,0.3,0.9,1.9,4.6
Grant Williams,26,CHO,PF,16,7,479,11.5,0.596,0.602,0.301,3.9,14.5,9.1,11.3,1.8,2.7,16.7,14.8,0.3,0.4,0.7,0.071,-2.3,0.7,-1.6,0.1,3.4,7.7,0.439,1.7,4.6,0.365,1.7,3.1,0.551,0.549,1.9,2.3,0.838,1.1,4,5.1,2.3,1.1,0.8,1.8,2.9,10.4
Jalen Williams,23,OKC,SG,69,69,2237,20.3,0.573,0.291,0.256,2.9,14.6,8.8,23.4,2.4,2.1,10.3,27.5,3.7,4.1,7.8,0.168,2.7,1.4,4,3.4,8.2,16.9,0.484,1.8,4.9,0.365,6.4,12,0.533,0.537,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6
Jaylin Williams,22,OKC,PF,47,9,784,16.4,0.594,0.692,0.136,6.7,28.7,17.9,19,1.3,3.7,13,14.6,1.5,1.7,3.3,0.199,1.5,2.7,4.3,1.2,2.1,4.7,0.439,1.3,3.3,0.399,0.8,1.4,0.529,0.577,0.5,0.6,0.767,1,4.6,5.6,2.6,0.5,0.6,0.7,1.7,5.9
Jeenathan Williams,25,HOU,SG,20,0,147,8.6,0.496,0.419,0.129,3.6,5.9,4.7,8.8,2.6,2.4,17.6,22.3,-0.2,0.2,0,-0.007,-5.5,-0.2,-5.7,-0.1,1.4,3.1,0.435,0.3,1.3,0.231,1.1,1.8,0.583,0.484,0.3,0.4,0.625,0.3,0.4,0.7,0.5,0.4,0.2,0.7,0.8,3.3
Kenrich Williams,30,OKC,PF,69,7,1132,13.7,0.587,0.483,0.11,6.3,16.3,11.4,11,1.8,0.9,9.5,15.4,1.6,1.9,3.6,0.151,-0.4,0.9,0.6,0.7,2.5,5.1,0.483,1,2.5,0.386,1.5,2.7,0.574,0.576,0.4,0.6,0.718,0.9,2.6,3.5,1.4,0.6,0.1,0.6,1.6,6.3
Mark Williams,23,CHO,C,44,41,1171,23.9,0.647,0.009,0.365,11.8,29.3,20.3,16.5,1.3,4.5,12,21.4,3.1,1.6,4.7,0.195,2.5,0.9,3.5,1.6,6.1,10.2,0.604,0,0.1,0,6.1,10.1,0.609,0.604,3,3.7,0.804,3,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3
Patrick Williams,23,CHI,PF,63,36,1576,9,0.512,0.527,0.161,2.9,12.7,7.9,10.3,1.4,1.8,13.5,16.9,-0.9,1.3,0.4,0.012,-3,-0.7,-3.7,-0.7,3.3,8.2,0.397,1.5,4.3,0.353,1.7,3.9,0.447,0.49,1,1.3,0.723,0.7,3.1,3.8,2,0.8,0.5,1.4,1.4,9
Robert Williams,27,POR,C,20,3,351,18.9,0.679,0.038,0.218,10.5,26.3,18.2,8.6,1.8,8.5,16.6,12.2,0.6,0.7,1.3,0.175,-0.1,3.2,3,0.4,2.5,3.9,0.641,0.1,0.2,0.333,2.5,3.8,0.653,0.647,0.8,0.9,0.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8
Vince Williams Jr.,24,MEM,SG,27,5,499,9.2,0.504,0.569,0.144,4.7,15.9,10.4,13.8,1.1,1.3,15.7,17,-0.1,0.5,0.4,0.04,-2.5,-0.3,-2.8,-0.1,2.5,6.2,0.401,1,3.5,0.274,1.5,2.7,0.569,0.479,0.7,0.9,0.792,0.8,2.8,3.6,2,0.4,0.3,1.2,1.7,6.6
Ziaire Williams,23,BRK,SF,63,45,1541,11.9,0.55,0.581,0.237,4.3,17.5,10.6,8.5,2,1.8,10.5,18.2,0.5,1.6,2.1,0.065,-2.2,-0.1,-2.3,-0.1,3.4,8.3,0.412,1.6,4.8,0.341,1.8,3.5,0.509,0.511,1.6,2,0.821,1,3.6,4.6,1.3,1,0.4,1.1,2.4,10
Zion Williamson,24,NOP,PF,30,30,857,27.3,0.6,0.026,0.474,9.3,18.2,13.6,36.6,2.1,3,12.8,34.7,1.9,0.6,2.5,0.141,5.9,1,7,1.9,9.6,16.9,0.567,0.1,0.4,0.231,9.5,16.5,0.576,0.57,5.3,8,0.656,2.5,4.7,7.2,5.3,1.2,0.9,3,2.7,24.6
Jalen Wilson,24,BRK,PF,79,22,2031,9.5,0.541,0.584,0.266,4,11.4,7.5,10.8,1,0.2,10.2,16.6,0.9,1,1.9,0.046,-2.6,-1.3,-3.9,-1,3.1,7.8,0.397,1.5,4.6,0.337,1.6,3.3,0.481,0.495,1.7,2.1,0.818,0.9,2.5,3.4,1.8,0.5,0.1,1,2.1,9.5
James Wiseman,23,IND,C,1,0,5,31.2,0.615,0.25,0.5,0,22.1,11.1,0,0,0,0,42.2,0,0,0,0.237,6,-4.4,1.6,0,2,4,0.5,0,1,0,2,3,0.667,0.5,2,2,1,0,1,1,0,0,0,0,0,6
Isaiah Wong,24,CHO,SG,20,0,265,10.9,0.5,0.314,0.324,5.5,7.4,6.4,16.5,2,0,13,22.1,-0.1,0.1,0.1,0.01,-2.9,-1,-4,-0.1,2.1,5.3,0.39,0.7,1.7,0.394,1.4,3.6,0.389,0.452,1.3,1.7,0.735,0.7,0.9,1.6,1.4,0.6,0,0.9,1.1,6
Delon Wright,32,2TM,PG,40,7,635,9.2,0.44,0.557,0.191,4.9,6.5,5.7,15,2.7,1.8,13.4,11.3,0,0.7,0.7,0.053,-2.8,1.4,-1.4,0.1,1.1,3.3,0.344,0.5,1.8,0.274,0.6,1.5,0.431,0.42,0.4,0.6,0.6,0.7,1,1.7,1.9,0.9,0.3,0.6,0.6,3.1
Guerschon Yabusele,29,PHI,C,70,43,1895,14.7,0.616,0.487,0.245,7.7,16.3,11.8,11.6,1.5,1.2,12.2,16.3,2.9,1,3.9,0.099,0.1,-1.1,-1,0.5,4,8,0.501,1.5,3.9,0.38,2.5,4.1,0.616,0.593,1.4,2,0.725,1.9,3.7,5.6,2.1,0.8,0.3,1.2,2.3,11
Jahmir Young,24,CHI,PG,6,0,30,16.8,0.935,0.4,0.4,3.6,6.9,5.2,26.2,0,0,14.5,9.6,0.1,0,0.1,0.22,1.2,-0.8,0.5,0,0.7,0.8,0.8,0.2,0.3,0.5,0.5,0.5,1,0.9,0.3,0.3,1,0.2,0.3,0.5,1,0,0,0.2,0.3,1.8
Trae Young,26,ATL,PG,76,76,2739,18.3,0.567,0.467,0.408,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,4.4,1.3,5.7,0.1,3.3,-2.7,0.5,1.7,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.7,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2
Ivica Zubac,27,LAC,C,80,80,2624,22.3,0.641,0,0.251,13.1,30.2,21.8,12.8,1,3.4,10.8,19.5,7,4.7,11.7,0.215,2.3,0.8,3.1,3.4,7.4,11.8,0.628,0,0,,7.4,11.8,0.628,0.628,2,3,0.661,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,16.8
